BBL,BldgArea,Energy (kBtu)
1005770015,60930,6580440.0
1005770024,151500,5878200.0
1005770030,100315,5176254.0
1005770039,126756,9988372.799999999
1005770042,93396,9358279.200000001
1005777502,233409,17739084.0
1005780047,340618,28373479.4
1005790030,281387,14463291.799999999
1005800015,51420,3501701.9999999995
1005800019,51000,3111000.0
1005800022,164791,6344453.5
1005800039,259427,19586738.5
1005800065,137975,7450650.0
1005807501,351759,24447250.5
1005847501,106765,11680091.0
1005860020,76888,5282205.600000001
1005897501,53542,5595139.0
1005907502,65681,4197015.899999999
1005910026,168332,17153030.8
1005920066,93291,5942636.7
1005947501,80336,4707689.600000001
1005947503,152309,12337029.0
1005950016,55352,1964996.0
1005957501,55667,1987311.9000000001
1005960001,940000,83190000.0
1005960092,479500,44785300.0
1005970001,59615,2855558.5
1005970005,59720,6652808.0
1005970055,101290,10625321.0
1005970062,193813,34130469.3
1005980058,797477,66828572.599999994
1005990064,907938,54567073.800000004
1006007501,579930,48076197.0
1006010013,59311,4993986.2
1006010047,118422,12611943.0
1006010052,67500,8619750.0
1006017501,222677,16789845.8
1006020036,108764,6699862.4
1006020068,245330,18448816.0
1006027501,282969,21166081.2
1006030001,215890,9326448.0
1006030037,81040,2787776.0
1006030046,90000,8253000.0
1006047501,85771,9949436.0
1006070038,62772,9327919.2
1006077502,83082,9363341.4
1006080039,364679,36431432.1
1006090001,137882,11002983.6
1006090007,140044,15923002.8
1006090023,182554,29245150.799999997
1006090047,94144,9555616.0
1006097502,47076,2043098.4
1006097503,83169,9073737.9
1006107501,106769,12203696.7
1006110065,142941,9848634.9
1006127504,105590,21656509.0
1006150086,58565,2483156.0
1006160011,127072,9327084.8
1006167501,10000,693000.0
1006170055,153000,24189300.0
1006180024,53906,3617092.5999999996
1006180033,142204,12130001.2
1006187501,124667,11008096.1
1006187504,60292,6071404.4
1006200019,92998,5840274.399999999
1006207501,56772,3048656.4000000004
1006240001,90450,8212860.0
1006247503,123604,10543421.2
1006247504,3911,294498.3
1006247505,46835,2561874.5
1006257501,132846,13696422.6
1006260012,262297,5429547.899999999
1006270043,181550,10039715.0
1006280004,108600,17343420.0
1006290044,56508,966286.8
1006297503,126277,9420264.2
1006310030,51200,4469760.0
1006317502,82830,9500601.0
1006320017,141001,9038164.1
1006340047,53500,3605900.0000000005
1006350026,70350,4945605.0
1006367503,264976,15872062.4
1006370081,60000,4824000.0
1006377502,54774,4009456.8000000003
1006377505,66871,9595988.5
1006380004,63000,2759400.0
1006380019,118350,5041710.0
1006390001,637555,43481251.0
1006400012,100320,6019200.0
1006400021,76549,6590868.899999999
1006407501,164753,12751882.200000001
1006420004,85030,5586471.0
1006427502,147927,12455453.4
1006430001,434276,24840587.200000003
1006450011,219320,43271836.0
1006450029,144000,7718400.0
1006467502,103878,8424505.799999999
1006467503,73409,17757637.1
1006700070,217350,8063685.0
1006730001,1129200,32633880.0
1006870029,540299,137722215.1
1006887501,708000,66552000.0
1006900012,195000,25038000.0
1006907501,58700,4478810.0
1006917501,118137,13987420.8
1006917502,91665,4674915.0
1006920015,111329,4675818.0
1006920019,94622,4475620.6
1006920023,83240,3487756.0
1006920041,124385,2313561.0
1006930014,91591,1502092.4
1006930023,151884,941680.8
1006940039,109795,7103736.5
1006940047,141934,6713478.199999999
1006947501,88671,4575423.600000001
1006957503,265686,27790755.599999998
1006957504,39593,2795265.8
1006957506,42413,5089560.0
1006957508,41719,2707563.1
1006960065,108081,3901724.1
1006967502,40760,2523044.0
1006970013,81065,4993604.0
1006970023,83612,6505013.6
1006970031,214780,17032054.0
1006970042,146416,8931376.0
1006970047,218019,18160982.7
1006977501,73489,5203021.2
1006980018,121086,15208401.6
1006990033,101000,5252000.0
1006997502,98610,3303435.0
1007010001,213330,6954558.0
1007010024,55000,2343000.0
1007017501,107530,5505536.0
1007017502,301475,24329032.5
1007060020,100630,5403831.0
1007080031,241508,13693503.600000001
1007100011,51845,9617247.5
1007120001,281361,31034118.3
1007120029,53186,6701436.0
1007130001,1100533,170802721.6
1007167503,70730,4639888.0
1007167505,42632,5030576.0
1007187501,146020,8907220.0
1007187502,140360,27903568.0
1007187503,45684,2562872.4
1007190020,63956,6708984.4
1007200045,58394,3235027.6
1007210007,950200,72690300.0
1007217501,715867,65859764.0
1007227501,95935,7195125.0
1007237501,89203,5628709.3
1007237502,135533,8403046.0
1007280060,112146,5708231.399999999
1007297501,140820,6576294.0
1007299001,1445092,113150703.6
1007310001,538520,55952228.0
1007310060,108402,11620694.4
1007310065,119194,10071893.0
1007320007,97867,9757339.9
1007320016,142971,13510759.5
1007320025,122073,2905337.4
1007320058,64449,6019536.600000001
1007340037,214594,16008712.399999999
1007347501,144658,12397190.6
1007350006,440709,37372123.199999996
1007350017,97646,10272359.200000001
1007367501,144243,8928641.7
1007387501,101034,5758938.0
1007387504,56600,1352740.0
1007390001,2161994,42063106665.8
1007400001,110286,16631128.8
1007407501,75271,8611002.4
1007407502,183484,19999756.0
1007410067,57706,5008880.8
1007427501,35239,2385680.3000000003
1007430038,77712,7514750.4
1007440001,62638,5963137.600000001
1007457502,25337,1517686.3
1007467502,41918,3034863.2
1007467503,21455,1812947.5
1007470001,250908,20750091.6
1007470028,120010,3420285.0
1007530051,62824,3756875.1999999997
1007537502,38405,3083921.5
1007540051,116000,2721696400.0
1007540063,82750,777850.0
1007540068,63200,6162000.0
1007540078,338962,20846163.0
1007570022,555125,44576537.5
1007570031,611625,52599750.0
1007570066,279392,22044028.8
1007580025,103191,742975.2000000001
1007580028,149436,11730726.0
1007580037,1300727,110952013.1
1007580082,342596,35527205.2
1007587501,286520,25643540.0
1007590014,93090,8675988.0
1007590037,266912,18203398.400000002
1007590045,330291,20180780.1
1007590072,74368,6388211.2
1007600007,56513,4532342.600000001
1007600012,98454,7177296.600000001
1007600018,81000,10667700.0
1007600021,115763,10812264.200000001
1007600032,232459,16481343.100000001
1007600043,137003,10891738.5
1007600055,100244,2666490.4000000004
1007600063,122817,8474373.0
1007600068,170978,17131995.6
1007610022,82354,3623576.0
1007610028,102824,5182329.6
1007610033,166874,15335720.600000001
1007610037,162260,4786670.0
1007610041,73698,5026203.600000001
1007610043,718503,65743024.5
1000047501,1888126,199952543.4
1000050010,1016406,71758263.6
1000057501,1024229,126389858.60000001
1000087501,169061,21724338.5
1000090001,692431,48123954.5
1000090014,544015,42541973.0
1000090029,896956,96333074.4
1000100014,365792,37566838.4
1000100016,336025,20766345.0
1000100023,321994,31619810.8
1007620011,54935,4460722.0
1007620019,110188,7669084.8
1007620025,274209,19578522.6
1007620033,224400,16942200.0
1007620038,103133,7899987.8
1007620042,112700,7641060.0
1007620050,156508,10392131.200000001
1007620060,218725,15048280.0
1007630018,93661,6706127.6
1007630024,132684,8690802.0
1007630049,68060,3083118.0
1007630060,131921,10777945.700000001
1007630065,67130,6800269.0
1007637502,65791,4447471.6
1007640001,185198,12797181.799999999
1007640042,109669,9223162.899999999
1007650001,102046,13694573.2
1007650035,128350,12193250.0
1007650041,141491,9338406.0
1007660039,101221,7733284.4
1007660061,53168,6741702.399999999
1007667502,136095,17188798.5
1007667503,69860,5882212.0
1007667504,49841,2766175.5
1007670012,108768,4829299.2
1007670015,118945,8052576.5
1007670054,167210,20015037.0
1007677502,73496,5166768.8
1007677503,71206,6102354.2
1007680050,115433,9765631.799999999
1007680059,157364,3115807.2
1007687501,48676,3660435.2
1007687502,87047,8539310.7
1007690031,77615,3865227.0
1007697503,139198,16675920.4
1007697505,72312,6761172.0
1007697506,50790,2732502.0
1007710038,80977,8267751.699999999
1007710046,76450,5060990.0
1007720056,152342,12446341.4
1007730012,159090,12424929.0
1007730012,159090,11661297.0
1007730012,159090,12743109.0
1007730027,66524,325967.60000000003
1007730056,57207,1287157.5
1007730134,68879,8720081.4
1007740008,59250,4787400.0
1007747501,623668,56816154.8
1007750017,50029,3692140.1999999997
1007750022,62586,5207155.2
1007750060,86280,7152612.000000001
1007757501,109490,7828535.0
1007757502,177552,10404547.200000001
1007760001,173491,12231115.5
1007760021,53361,5773660.2
1007760047,65240,7894040.0
1007760055,109132,7770198.4
1007760059,94331,4093965.4
1007780020,156500,9671700.0
1007780043,240534,17005753.8
1007780048,125042,7940167.0
1007780057,71541,5651739.0
1007787501,58194,6581741.399999999
1007790010,60610,6212525.0
1007790013,106960,7572768.0
1007790017,144323,10391256.0
1007790023,55000,4653000.0
1007790039,143845,11507600.0
1007790041,127488,14482636.799999999
1007790057,142801,22848160.0
1007790063,64414,4219117.0
