screen_name,name,party
MarkWarner,Mark Warner,D
SenatorWarner,Mark Warner,D
timkaine,Timothy Kaine,D
SenatorKaine,Timothy Kaine,D
RepElaineLuria,Elaine Luria,D
ElaineLuriaVA,Elaine Luria,D
repbobbyscott,Robert Scott,D
BobbyScott,Robert Scott,D
RepMcEachin,Donald McEachin,D
Donald_McEachin,Donald McEachin,D
